id_cliente,id_equipo,id_abono,fecha_de_alta,razon_social,direccion,celular,dni,coordenadas,numero_ip,correo_electronico
1,1,1,2022-01-2 14:30:00,Constructora del Norte SA,Av. Corrientes 1234,011-2345678,30567890,"-34.603722, -58.381592",192.168.1.1,info@constructoradelnorte.com.ar
2,10,2,2022-01-8 15:00:00,Farmacia San Jose,Calle San Martin 567,0341-8765432,40543210,"-32.946819, -60.63932",192.168.1.2,farmaciasanjose@gmail.com
3,5,3,2022-01-17 15:30:00,Consultora de Marketing Integral,Ruta Nacional 9 km 45,0299-6543210,20567890,"-38.95161, -68.0591",192.168.1.3,info@consultoraintegral.com.ar
4,3,4,2022-01-25 16:00:00,Inmobiliaria Buenos Aires,Av. Rivadavia 789,0221-3456789,30678901,"-34.921389, -57.954444",192.168.1.4,info@inmobiliariaba.com.ar
5,7,1,2023-01-2 16:30:00,Imprenta del Sur SRL,Av. Libertador 678,0381-9876543,40678901,"-27.469771, -58.830039",192.168.1.5,contacto@imprentadelsur.com.ar
6,8,2,2023-01-3 17:00:00,Libreria El Quijote,Calle Belgrano 456,0291-2345678,50678901,"-32.89084, -68.827171",192.168.1.6,info@libreriaelquijote.com.ar
7,4,3,2023-01-20 17:30:00,Hotel Plaza Central,Av. San Martin 789,0342-8765432,20789012,"-31.63333, -60.7",192.168.1.7,info@hotelplazacentral.com.ar
8,6,4,2023-01-25 18:00:00,Estudio Juridico Gomez y Asociados,Av. Mitre 567,0223-4567890,40789012,"-38.002281, -57.557539",192.168.1.8,info@gomezyasociados.com.ar
9,2,1,2023-01-30 18:30:00,Constructora Rio de Plata SRL,Av. Independencia 123,0381-6543210,30789012,"-27.469771, -58.830039",192.168.1.9,info@constructorariodeplata.com.ar
10,9,2,2024-01-2 19:00:00,Centro Medico San Lucas,Calle Entre Rios 789,0341-2345678,50789012,"-32.89084, -68.827171",192.168.1.10,info@centromedicosanlucas.com.ar
